Region,Gender,Year,Lowerbound,Upperbound,Mean_Estimate,Country,age_group,CI_WIDTH,Obesity_level,CI_Width,Condition
Western Pacific,Male,2015,55.5724,65.90836,60.77884,COK,Adult,10.33596,High,10.33596,Obesity
Eastern Mediterranean,Female,2018,44.6961,52.30348,48.46508,KWT,Adult,7.607379999999999,High,7.607379999999999,Obesity
Americas,Both,2019,20.63963,25.26731,22.88822,GTM,Adult,4.627679999999998,Low,4.627679999999998,Obesity
Western Pacific,Both,2012,54.68478,62.30457,58.46471,TUV,Adult,7.619789999999995,High,7.619789999999995,Obesity
Europe,Male,2018,19.25212,24.51965,21.82625,FIN,Adult,5.267529999999997,Low,5.267529999999997,Obesity
Europe,Male,2015,13.64481,20.67774,16.99536,KGZ,Adult,7.03293,Low,7.03293,Obesity
Americas,Female,2015,23.44658,25.2907,24.36724,PER,Adult,1.8441200000000002,Low,1.8441200000000002,Obesity
Europe,Female,2017,26.59108,33.02475,29.7485,BLR,Adult,6.433669999999996,Moderate,6.433669999999996,Obesity
Americas,Female,2014,37.20495,43.24047,40.19188,JAM,Adult,6.035520000000005,High,6.035520000000005,Obesity
Africa,Female,2021,6.28613,16.81041,10.79423,SSD,Adult,10.524280000000001,Low,10.524280000000001,Obesity
Africa,Female,2021,14.60268,22.50962,18.30371,ZWE,Adult,7.906940000000002,Low,7.906940000000002,Obesity
Africa,Female,2022,10.2735,17.23844,13.54195,SEN,Adult,6.96494,Low,6.96494,Obesity
Americas,Both,2014,23.00592,27.43901,25.16256,SLV,Adult,4.43309,Moderate,4.43309,Obesity
Western Pacific,Male,2019,4.70457,8.05473,6.23752,PHL,Adult,3.350159999999999,Low,3.350159999999999,Obesity
Eastern Mediterranean,Female,2019,9.58662,16.03527,12.53311,YEM,Adult,6.448650000000001,Low,6.448650000000001,Obesity
Europe,Male,2013,14.56256,18.1784,16.3192,SWE,Adult,3.6158400000000004,Low,3.6158400000000004,Obesity
Africa,Female,2017,23.4388,30.29812,26.77417,LSO,Adult,6.85932,Moderate,6.85932,Obesity
